,,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,-additional
Rk,Pos,Player,Tm,Vote Pts,1st Place,Share,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,-9999
1,QB,Lamar Jackson,Baltimore Ravens,493.0,49,98.6%,16,16,307,457,3678,24,7,148,821,5,0,0,0,0,0.0,0,JackLa00
2,QB,Dak Prescott,Dallas Cowboys,152.0,0,30.4%,17,17,410,590,4516,36,9,55,242,2,0,0,0,0,0.0,0,PresDa01
3,RB,Christian McCaffrey,San Francisco 49ers,147.0,0,29.4%,16,16,0,0,0,0,0,272,1459,14,67,564,7,0,0.0,0,McCaCh01
4,QB,Brock Purdy,San Francisco 49ers,97.0,0,19.4%,16,16,308,444,4280,31,11,39,144,2,0,0,0,0,0.0,0,PurdBr00
5,QB,Josh Allen,Buffalo Bills,80.0,1,16%,17,17,385,579,4306,29,18,111,524,15,0,0,0,0,0.0,0,AlleJo02
6,WR,Tyreek Hill,Miami Dolphins,60.0,0,12%,16,16,0,0,0,0,0,6,15,0,119,1799,13,0,0.0,0,HillTy00
7,QB,Patrick Mahomes,Kansas City Chiefs,12.0,0,2.4%,16,16,401,597,4183,27,14,75,389,0,0,0,0,0,0.0,0,MahoPa00
8,QB,Matthew Stafford,Los Angeles Rams,4.0,0,0.8%,15,15,326,521,3965,24,11,21,65,0,0,0,0,0,0.0,0,StafMa00
9,QB,C.J. Stroud,Houston Texans,4.0,0,0.8%,15,15,319,499,4108,23,5,39,167,3,1,0,0,0,0.0,0,StroCJ00
10,DE,Myles Garrett,Cleveland Browns,1.0,0,0.2%,16,16,0,0,0,0,0,0,0,0,0,0,0,33,14.0,0,GarrMy00
